CODIGO	NOME_FUNDO	TIPO_PRODUTO	CEDENTE	SACADO	LIMITE_CEDENTE	ESTADO_CEDENTE	ESTADO_SACADO	VENCIMENTO	DATA_EMISSAO	DATA_PAGAMENTO	VALOR_REAL	VALOR_DESAGIO	TAXA_MENSAL	RISCO_1	RISCO_2	RISCO_3	RISCO_4	RISCO_5	RISCO_6	RISCO_7	RISCO_8	RISCO_9	RISCO_10	RISCO_11	RISCO_12	RISCO_13	RISCO_14	RISCO_15	RISCO_16	RISCO_17	RISCO_18	RISCO_19	RISCO_20	RISCO_21	STATUS_LIQ_TITULO
1	Fundo 1	Produto 1	Cedente 2	Sacado 249	10000000	CE	SP	2018-03-18	2017-10-28	2018-03-18	1190.99	166.3848694	0.028213586	0.028472	1	0		0		0	0.610895141	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.985155	EM_DIA
2	Fundo 2	Produto 1	Cedente 1	Sacado 1372	8035714	PA	MG	2018-06-24	2018-05-21	2018-06-21	29209.38	571.781205	0.017252543	0.192935	0.5	0.958204	0.014139	0.013354	0.246686	0	0.380524644	0.020198	0.015453	0.666667	0.161228	0.392065	0	0.266667	0.6	0.010041	0.012547	0.395062	0.698438	0.707374	EM_DIA
3	Fundo 1	Produto 1	Cedente 2	Sacado 346	10000000	CE	PR	2018-03-19	2017-11-29	2018-03-21	756.66	63.95158064	0.022374607	0.033609	1	0		0		0	0.58137927	0		0		0.109617	0	0.066667	0.2	0.327489	0.321123	0.395062	0.890059	0.98756	ATRASO
4	Fundo 2	Produto 1	Cedente 1	Sacado 585	8035714	PA	PA	2018-04-03	2018-02-14	2018-04-06	7869.88	190.7647277	0.015081806	0.183401	0.5	0.124609	0.007712	0.000024	0.684831	0	0.179036362	0.020187	0.128587	0.666667	0.099808	0.415602	0	0.4	0.6	0.012217	0.017485	0.419753	0.609827	0.906279	ATRASO
5	Fundo 1	Produto 1	Cedente 2	Sacado 2184	10000000	CE	RJ	2018-02-02	2017-11-03	2018-02-02	1064.92	105.9766933	0.031770113	0.028472	1	0		0		0	0.514459388	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.368493	EM_DIA
6	Fundo 2	Produto 1	Cedente 1	Sacado 589	8035714	PA	SC	2018-05-14	2018-03-06	2018-05-14	7383.22	351.7446532	0.020441362	1	0.9	0.073837	0.011568	0.013354	0.179676	0	0.304978593	0.000266	0.131347	0.333333	0.101727	0.415602	0	0.2	0.6	0.022618	0.032021	0.419753	0.616463	0.009666	EM_DIA
7	Fundo 2	Produto 1	Cedente 1	Sacado 2185	8035714	PA	SP	2018-07-02	2018-06-15	2018-06-25	34192.8	2575.793586	0.136744796	1	0.9	0.074838	0.001285	0		0	0.643088054	0.000266	0.192605	0.333333	0.172745	0.406859	0	0.266667	0.8	0.029915	0.037156	0.432099	0.702674	0.799421	EM_DIA
8	Fundo 2	Produto 1	Cedente 1	Sacado 466	8035714	PA	PA	2018-07-02	2018-05-19	2018-06-27	3090.69	244.1577402	0.053207687	0.192542	0.5	0.958204	0.011568	0.01339	0.246686	0	0.41979356	0.020198	0.014349	0.666667	0.159949	0.392065	0	0.133333	0.2	0.010041	0.012547	0.395062	0.698438	0.998154	EM_DIA
9	Fundo 2	Produto 1	Cedente 1	Sacado 903	8035714	PA	AM	2018-04-22	2018-03-24	2018-04-22	28136.78	1936.403497	0.071276884	1	0.9	0.074088	0.014139	0.013354	0.202504	0	0.958258917	0.000266	0.148455	0.333333	0.121561	0.375925	0	0.333333	1	0.016986	0.024074	0.407407	0.615808	0.886448	EM_DIA
10	Fundo 1	Produto 1	Cedente 2	Sacado 51	10000000	CE	MT	2018-03-20	2017-11-19	2018-03-20	542.87	62.43387671	0.027357799	0.033122	1	0		0		0	0.429375585	0		0		0.109617	0	0.2	0.6	0.081502	0.079957	0.395062	0.889614	0.11029	EM_DIA
11	Fundo 2	Produto 1	Cedente 1	Sacado 57	8035714	PA	MS	2018-04-22	2018-03-08	2018-04-22	8509.43	529.7037929	0.041080303	1	0.9	0.073837	0.011568	0.013354	0.179676	0	0.256590154	0.000266	0.131347	0.333333	0.101727	0.415602	0	0.2	0.6	0.022618	0.032021	0.419753	0.616463	0.712314	EM_DIA
12	Fundo 2	Produto 1	Cedente 1	Sacado 171	8035714	PA	PA	2018-04-24	2018-02-09	2018-04-20	8250	703.7779958	0.033744292	0.182898	0.5	0.124609	0.001285	0		0	0.424323177	0.020187	0.126932	0.666667	0.096609	0.415602	0	0.466667	0.8	0.012217	0.017485	0.419753	0.609827	0.67632	EM_DIA
13	Fundo 2	Produto 1	Cedente 1	Sacado 2186	8035714	PA	PI	2018-06-17	2018-05-23	2018-06-18	3738.25	294.7903655	0.095360491	0.192935	0.5	0.958204	0.014139	0.013354	0.246686	0	0.062976608	0.020198	0.015453	0.666667	0.161228	0.392065	0	0.266667	0.6	0.010041	0.012547	0.395062	0.698438	0.9468	ATRASO
14	Fundo 1	Produto 1	Cedente 2	Sacado 2187	10000000	CE	BA	2018-03-19	2017-11-24	2018-03-20	2968.27	343.1518677	0.028949837	0.033609	1	0		0		0	0.10452922	0		0		0.109617	0	0.066667	0.2	0.327489	0.321123	0.395062	0.890059	0.997005	ATRASO
15	Fundo 4	Produto 1	Cedente 2	Sacado 529	10000000	CE	SP	2018-03-20	2017-11-22	2018-03-22	361.28	46.88932007	0.031510542	0.033609	1	0		0		0	0.4787039	0		0		0.109617	0	0.066667	0.2	0.327489	0.321123	0.395062	0.890059	0.983533	ATRASO
16	Fundo 1	Produto 1	Cedente 2	Sacado 555	10000000	CE	PR	2018-03-19	2017-11-22	2018-02-07	642.03	74.31167594	0.028480655	0.033609	1	0		0		0	0.418698618	0		0		0.109617	0	0.066667	0.2	0.327489	0.321123	0.395062	0.890059	0.977803	EM_DIA
17	Fundo 2	Produto 1	Cedente 1	Sacado 2188	8035714	PA	SP	2018-07-28	2018-07-13	2018-07-28	96371.89	8164.985452	0.176625558	0.196843	0.5	0.958703	0.03599	0		0	0.400177645	0.020198	0.037528	0.666667	0.190019	0.406859	0	0.4	0.6	0.055117	0.075854	0.407407	0.634165	0.754795	EM_DIA
18	Fundo 1	Produto 1	Cedente 2	Sacado 304	10000000	CE	RS	2018-03-20	2018-02-19	2018-03-20	665.17	50.63944377	0.078856184	0.044078	1	0		0		0	0.967763582	0.000637	0.005519	0		0	0	0.133333	0.4	0.139847	0.138412	0.395062	0.881809	0.994813	EM_DIA
19	Fundo 2	Produto 1	Cedente 1	Sacado 598	8035714	PA	SP	2018-05-31	2018-05-03	2018-05-31	8560.96	157.1429175	0.019679705	1	0.9	0.074338	0.01671	0.013354	0.224595	0	0.047411021	0.000266	0.165011	0.333333	0.140755	0.347007	0	0.133333	0.4	0.010698	0.013903	0.407407	0.671586	0.900335	EM_DIA
20	Fundo 2	Produto 1	Cedente 1	Sacado 2189	8035714	PA	RS	2018-05-31	2018-05-03	2018-05-31	3661.83	140.8042203	0.041254351	1	0.9	0.074338	0.01671	0.013354	0.224595	0	0.377809321	0.000266	0.165011	0.333333	0.140755	0.347007	0	0.133333	0.4	0.010698	0.013903	0.407407	0.671586	0.675568	EM_DIA
21	Fundo 1	Produto 1	Cedente 2	Sacado 2190	10000000	CE	SP	2018-01-31	2017-11-03	2018-02-03	392.75	21.88880357	0.018449422	0.028472	1	0		0		0	0.039110946	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.944985	ATRASO
22	Fundo 2	Produto 1	Cedente 1	Sacado 2191	8035714	PA	MG	2018-07-03	2018-05-22	2018-07-03	9302.48	443.7432848	0.033845013	0.192935	0.5	0.958204	0.014139	0.013354	0.246686	0	0.286641521	0.020198	0.015453	0.666667	0.161228	0.392065	0	0.266667	0.6	0.010041	0.012547	0.395062	0.698438	0.336185	EM_DIA
23	Fundo 2	Produto 1	Cedente 1	Sacado 220	8035714	PA	PA	2018-05-07	2018-02-28	2018-05-07	1220.8	125.844015	0.044233863	1	0.9	0.073837	0.011568	0.013354	0.179676	0	0.520602349	0.000266	0.131347	0.333333	0.101727	0.415602	0	0.2	0.6	0.022618	0.032021	0.419753	0.616463	0.594657	EM_DIA
24	Fundo 1	Produto 1	Cedente 2	Sacado 1441	10000000	CE	GO	2018-02-01	2017-11-02	2018-02-01	954.26	104.3870811	0.034815719	0.028472	1	0		0		0	0.37362105	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.994497	EM_DIA
25	Fundo 2	Produto 1	Cedente 1	Sacado 2192	8035714	PA	PE	2018-08-11	2018-07-28	2018-08-09	14996.96	238.4221759	0.034376935	0.199459	0.5	0.958703	0.065553	0		0	0.462965055	0.020288	0.002208	0.666667	0.204734	0.495629	0	0.4	0.6	0.007857	0.010327	0.432099	0.663979	0.905699	EM_DIA
26	Fundo 1	Produto 1	Cedente 2	Sacado 149	10000000	CE	PR	2018-02-01	2017-10-26	2018-02-01	1056	130.4491195	0.036299445	0.028472	1	0		0		0	0.96515498	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.877697	EM_DIA
27	Fundo 1	Produto 1	Cedente 2	Sacado 2193	10000000	CE	PA	2018-03-19	2017-10-02	2018-03-19	742.81	115.1815398	0.026075957	0.026995	1	0		0		0	0.433041414	0.001304	0.001104	0		0.159381	0	0.066667	0.2	0.170634	0.172491	0.407407	0.863363	0.634775	EM_DIA
28	Fundo 2	Produto 1	Cedente 1	Sacado 2194	8035714	PA	MA	2018-02-26	2018-02-14	2018-02-28	5427.56	164.0523444	0.077286096	0.183401	0.5	0.124609	0.007712	0.000024	0.684831	0	0.580561224	0.020187	0.128587	0.666667	0.099808	0.415602	0	0.4	0.6	0.012217	0.017485	0.419753	0.609827	0.949836	ATRASO
29	Fundo 1	Produto 1	Cedente 2	Sacado 249	10000000	CE	SP	2018-03-18	2017-10-27	2018-03-18	852.77	130.9432853	0.030638422	0.028472	1	0		0		0	0.955317628	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.49369	EM_DIA
30	Fundo 1	Produto 1	Cedente 2	Sacado 281	10000000	CE	SC	2018-04-10	2017-11-13	2018-04-11	746.5	113.5621851	0.029120489	0.032025	1	0		0.000649	0.005891	0	0.716273279	0		0		0.109617	0	0.133333	0.4	0.168702	0.172724	0.407407	0.852432	0.999304	ATRASO
